customer_id,sales_one_week,call_type
1513,118.44,audio
1514,124.23,video
1536,141.19,audio
1585,156.89,video
1600,111.19,audio
1642,129.14,video
1658,90.12,video
1660,80.24,audio
1728,110.91,audio
1734,120.89,video
1752,121.88,audio
1753,71.25,audio
1757,46.93,video
1766,117.55,video
1793,95.08,video
1800,134.19,video
1802,132.99,video
1808,107.57,audio
1810,126.31,audio
1815,89,audio
1817,103.81,audio
1820,117.45,audio
1822,116.38,audio
1834,150.13,video
1846,71.53,video
1858,129.74,video
1895,117.59,audio
1909,98.6,audio
1919,120.45,audio
1924,85.3,audio
1931,143.2,video
1996,61.53,audio
2010,76.54,audio
2091,138.07,audio
2140,102.96,video
2150,141.32,video
2198,88.93,video
2219,59.44,video
2228,124.07,audio
2237,135.3,video
2244,92.94,video
2283,59.71,audio
2312,91.95,audio
2317,122.78,audio
2330,100.38,audio
2332,112.64,audio
2399,145.21,video
2413,73.57,video
2414,156.97,video
2415,139.2,video
2417,104.9,video
2422,153.98,video
2430,101.92,video
2448,157.77,audio
2465,146.45,video
2472,54.55,audio
2495,99.65,video
2497,112.36,video
2586,75.7,audio
2598,129.92,video
2608,72.59,audio
2622,128.29,video
2623,177.98,audio
2625,119.62,video
2626,139.54,video
2638,97.79,video
2644,82.35,video
2662,160.2,video
2688,139.78,audio
2692,124.81,audio
2694,160.49,audio
2705,113.51,audio
2722,122.92,video
2726,114.25,audio
2792,91.01,video
2795,118.41,video
2815,131.78,audio
2828,102.42,audio
2834,93.55,video
2843,95.98,audio
2861,131.62,audio
2891,156.72,video
2895,138.49,audio
2910,101.11,audio
2974,135.5,audio
2984,103.38,video
2996,110.54,video
3010,72.73,audio
3010,62.44,audio
3014,100.63,audio
3027,79.6,video
3028,107.68,audio
3043,113.36,audio
3043,87.88,audio
3054,100.55,audio
3056,125.05,video
3118,100.76,video
3125,189.55,video
3152,59.54,audio
3166,145.52,audio
3169,97.86,audio
3176,126.41,video
3207,97.58,video
3210,96.97,audio
3223,131.98,video
3229,150.18,audio
3237,102.74,video
3238,96.83,audio
3268,109.06,video
3279,75.91,audio
3284,120.43,video
3288,114.88,audio
3313,87.18,video
3339,75.54,audio
3357,100.7,video
3360,151.75,video
3362,105.42,video
3391,121.1,video
3394,173.6,video
3438,160.05,video
3447,168.29,audio
3449,148.5,video
3464,91.53,audio
3476,90.65,audio
3478,119.37,video
3500,167.04,audio
3517,97.54,audio
3521,119.78,audio
3531,120.03,video
3538,102.81,video
3593,148.26,video
3597,124.98,audio
3615,95.73,audio
3621,85.54,video
3627,153.58,audio
3633,85.99,video
3644,105.98,video
3678,139.72,audio
3692,147.79,audio
3738,134.71,video
3756,98.38,video
3772,92.25,video
3789,102.46,video
3801,79.85,audio
3803,102.94,video
3807,99.51,audio
3842,102.85,audio
3863,89.34,audio
3871,54.07,audio
3921,86.28,audio
3934,83.39,audio
3936,178.68,video
3948,127.15,audio
3953,151.86,video
3968,161.05,audio
3972,70.21,audio
3983,140.32,video
3992,119.95,audio
3999,143.1,video
4015,159.12,audio
4018,136.14,audio
4027,79.27,audio
4061,107.09,video
4090,99.52,audio
4099,180.36,audio
4104,111.76,audio
4165,110.74,video
4188,104.43,video
4206,131.56,audio
4217,111.58,audio
4275,93.42,audio
4291,107.06,audio
4301,155.35,video
4314,127.85,audio
4330,98.61,video
4352,140.51,video
4355,82.76,video
4358,148.53,video
4359,108.1,video
4380,183.15,video
4435,132.53,audio
4462,136.19,video
4466,137.95,video
4484,116.35,video
4492,121.72,audio
4498,91.07,audio
4506,155.77,audio
4539,166.41,video
4541,126.25,video
4549,119.21,video
4559,104,audio
4565,116.41,video
4575,124.9,video
4578,88.8,audio
4583,129.99,video
4638,94.49,audio
4657,89.07,video
4662,147.56,video
4670,127.77,video
4725,120.84,audio
