city,ds,bookings
City_2,01/01/2013,69
City_2,02/01/2013,101
City_2,03/01/2013,134
City_2,04/01/2013,155
City_2,05/01/2013,104
City_2,06/01/2013,121
City_2,07/01/2013,143
City_2,08/01/2013,173
City_2,09/01/2013,142
City_2,10/01/2013,154
City_2,11/01/2013,139
City_2,12/01/2013,92
City_2,13/01/2013,129
City_2,14/01/2013,121
City_2,15/01/2013,165
City_2,16/01/2013,151
City_2,17/01/2013,135
City_2,18/01/2013,150
City_2,19/01/2013,109
City_2,20/01/2013,111
City_2,21/01/2013,114
City_2,22/01/2013,162
City_2,23/01/2013,153
City_2,24/01/2013,155
City_2,25/01/2013,170
City_2,26/01/2013,109
City_2,27/01/2013,134
City_2,28/01/2013,179
City_2,29/01/2013,167
City_2,30/01/2013,144
City_2,31/01/2013,160
City_2,01/02/2013,159
City_2,02/02/2013,115
City_2,03/02/2013,129
City_2,04/02/2013,128
City_2,05/02/2013,185
City_2,06/02/2013,171
City_2,07/02/2013,163
City_2,08/02/2013,183
City_2,09/02/2013,125
City_2,10/02/2013,142
City_2,11/02/2013,178
City_2,12/02/2013,191
City_2,13/02/2013,223
City_2,14/02/2013,181
City_2,15/02/2013,131
City_2,16/02/2013,149
City_2,17/02/2013,162
City_2,18/02/2013,168
City_2,19/02/2013,198
City_2,20/02/2013,221
City_2,21/02/2013,178
City_2,22/02/2013,202
City_2,23/02/2013,153
City_2,24/02/2013,163
City_2,25/02/2013,222
City_2,26/02/2013,202
City_2,27/02/2013,201
City_2,28/02/2013,190
City_2,01/03/2013,181
City_2,02/03/2013,168
City_2,03/03/2013,190
City_2,04/03/2013,212
City_2,05/03/2013,201
City_2,06/03/2013,221
City_2,07/03/2013,224
City_2,08/03/2013,197
City_2,09/03/2013,162
City_2,10/03/2013,176
City_2,11/03/2013,205
City_2,12/03/2013,234
City_2,13/03/2013,220
City_2,14/03/2013,212
City_2,15/03/2013,190
City_2,16/03/2013,153
City_2,17/03/2013,191
City_2,18/03/2013,173
City_2,19/03/2013,236
City_2,20/03/2013,214
City_2,21/03/2013,238
City_2,22/03/2013,208
City_2,23/03/2013,157
City_2,24/03/2013,208
City_2,25/03/2013,235
City_2,26/03/2013,244
City_2,27/03/2013,221
City_2,28/03/2013,231
City_2,29/03/2013,220
City_2,30/03/2013,166
City_2,31/03/2013,154
City_2,01/04/2013,204
City_2,02/04/2013,283
City_2,03/04/2013,237
City_2,04/04/2013,246
City_2,05/04/2013,227
City_2,06/04/2013,181
City_2,07/04/2013,188
City_2,08/04/2013,255
City_2,09/04/2013,258
City_2,10/04/2013,241
City_2,11/04/2013,262
City_2,12/04/2013,203
City_2,13/04/2013,171
City_2,14/04/2013,199
City_2,15/04/2013,257
City_2,16/04/2013,262
City_2,17/04/2013,261
City_2,18/04/2013,229
City_2,19/04/2013,230
City_2,20/04/2013,167
City_2,21/04/2013,180
City_2,22/04/2013,248
City_2,23/04/2013,275
City_2,24/04/2013,250
City_2,25/04/2013,211
City_2,26/04/2013,237
City_2,27/04/2013,158
City_2,28/04/2013,194
City_2,29/04/2013,264
City_2,30/04/2013,256
City_2,01/05/2013,265
City_2,02/05/2013,252
City_2,03/05/2013,218
City_2,04/05/2013,157
City_2,05/05/2013,180
City_2,06/05/2013,263
City_2,07/05/2013,260
City_2,08/05/2013,270
City_2,09/05/2013,273
City_2,10/05/2013,247
City_2,11/05/2013,159
City_2,12/05/2013,199
City_2,13/05/2013,265
City_2,14/05/2013,301
City_2,15/05/2013,261
City_2,16/05/2013,246
City_2,17/05/2013,231
City_2,18/05/2013,179
