order_id,total_price,total_shipping,num_items,order_total,group,below_threshold,responded,amount_added,final_price,final_revenue
326c5dc4aaf9daba2e0b813c4086156f,64.5,18.02,1,82.52,control,True,False,0.0,64.5,82.52
6aaedd714ad6929fc4df8d51bd4cfe9a,46.8,14.52,1,61.31999999999999,treatment,True,False,0.0,46.8,61.31999999999999
5a39ba43f671c9ad40782147ec3a1997,129.9,63.16,1,193.06,treatment,False,False,0.0,129.9,129.9
434061e3b7fa3c393982a25fe1664a57,119.8,35.34,2,155.14,treatment,False,False,0.0,119.8,119.8
3e9334d33c1e64167920675211fb1aee,49.0,16.11,1,65.11,control,True,False,0.0,49.0,65.11
60f2e590036bd3ff5c956e9bcdfe56ac,59.9,19.39,1,79.28999999999999,control,True,False,0.0,59.9,79.28999999999999
16d3fb690fdff184f6741b04dbbd0741,16.97,15.1,1,32.07,control,True,False,0.0,16.97,32.07
30bf87367ed2e63f68bfb5aacdae279b,47.9,9.09,1,56.989999999999995,treatment,True,False,0.0,47.9,56.989999999999995
5b181a5480a2873bf4689add4630e731,179.9,15.01,1,194.91,treatment,False,False,0.0,179.9,179.9
8b4a1a6f0e8e8695feba49f260195ee8,120.0,13.18,1,133.18,treatment,False,False,0.0,120.0,120.0
8171d9c270f72f461104055ce2cada91,65.95,16.65,1,82.6,control,True,False,0.0,65.95,82.6
32db4da13d5f0ad10781de19e0973e88,10.99,11.85,1,22.84,treatment,True,False,0.0,10.99,22.84
064eacf6619a7203b06b7187bf3a3779,23.7,14.1,1,37.8,treatment,True,False,0.0,23.7,37.8
c3bc950aed66e7b8176ffb5223639f03,43.9,15.23,1,59.129999999999995,control,True,False,0.0,43.9,59.129999999999995
869a11332dfbdd33131c16f1ef2d75bf,23.9,7.43,1,31.33,control,True,False,0.0,23.9,31.33
c1b370b659841b645967ebbac6a5adae,185.81,39.35,1,225.16,control,False,False,0.0,185.81,225.16
c54a395b5f384f7eb66433d136522b7f,98.0,16.45,1,114.45,control,True,False,0.0,98.0,114.45
bd83663c5988e9ca4ca46398be4678b4,269.45,16.64,1,286.09,treatment,False,False,0.0,269.45,269.45
3791546188451960cd4606d482b3658e,21.99,18.23,1,40.22,control,True,False,0.0,21.99,40.22
5b7aed674843fc9b20d1c4cef543a761,39.9,19.32,1,59.22,control,True,False,0.0,39.9,59.22
deafd5190946c25dcce1974055abb693,12.9,11.85,1,24.75,treatment,True,False,0.0,12.9,24.75
d5a3687b456d8d82fa6098579ee93e09,46.9,8.72,1,55.62,control,True,False,0.0,46.9,55.62
20672f07069f89d1f9d2b94c9a72915c,14.99,7.71,1,22.7,control,True,False,0.0,14.99,22.7
0760a852e4e9d89eb77bf631eaaf1c84,35.0,15.35,1,50.35,control,True,False,0.0,35.0,50.35
7e308fe1aed001a0b8ba1e7f017cafa8,190.0,16.08,1,206.08,control,False,False,0.0,190.0,206.07999999999998
e2366f83c01269762e71b77254a6859c,199.9,17.16,1,217.06,treatment,False,False,0.0,199.9,199.9
3c168c149c30652ebe339c9e5ab96f71,34.9,14.52,1,49.42,control,True,False,0.0,34.9,49.42
0b0f3c7a9bcb6ad1fccab28f9240da6f,64.99,31.48,1,96.47,treatment,True,False,0.0,64.99,96.47
a437e36732c69e10d37e63bacbb1fe38,128.0,19.07,1,147.07,treatment,False,False,0.0,128.0,128.0
c43c85be1846e97fe6554a68837c9f75,169.9,35.71,1,205.61,control,False,False,0.0,169.9,205.61
58c498d29ae194afc5d69f486598f18c,169.0,15.93,1,184.93,treatment,False,False,0.0,169.0,169.0
a728a784b0cb1c9e387f984db61c0810,99.9,15.45,1,115.35,control,True,False,0.0,99.9,115.35000000000001
1dea8bb55507de40f0a05504ebc1bc7a,194.25,17.8,1,212.05,control,False,False,0.0,194.25,212.05
e0f3cd25b704e2b54b5837d443087ba2,379.99,26.52,1,406.51,treatment,False,False,0.0,379.99,379.99
f237e8ddc05a21386ec9441d40f8e09e,89.0,13.2,1,102.2,treatment,True,False,0.0,89.0,102.2
6ce893d804dc1a09876e09ef2537b8f4,49.0,13.44,1,62.44,treatment,True,False,0.0,49.0,62.44
b53789a8a5e82c833c06eb2c139993a3,69.98,23.7,2,93.68,control,True,False,0.0,69.98,93.68
ef0ce2dff39f4a5251eef4f5194deaea,67.8,23.28,1,91.08,control,True,False,0.0,67.8,91.08
21446a89bd1b60e7daab9013a9b1f6de,29.99,25.63,1,55.62,treatment,True,True,71.00025259404588,100.99025259404587,100.99025259404587
418b68df1336cdb60b7e80c8c249f28b,38.0,8.88,1,46.88,control,True,False,0.0,38.0,46.88
40943871fddded9badd0c7a30758807c,97.99,12.19,1,110.18,control,True,False,0.0,97.99,110.17999999999999
891a2a73007fba5bc9bfb7ea1f486171,99.0,29.62,1,128.62,control,True,False,0.0,99.0,128.62
619d32010fd4ff5df842c79c8d2dee26,69.9,7.78,1,77.68,control,True,False,0.0,69.9,77.68
cecb76748848cc8dc67013c58902eae0,66.0,38.34,1,104.34,treatment,True,False,0.0,66.0,104.34
18c643cade587cd125b3a56377985cac,86.9,16.24,1,103.14,control,True,False,0.0,86.9,103.14
