householdID,total_ppl,own_rent,square_foot,household_income,number_pets,county,entertainment_spend_est,travel_spend_est,under_12,LL_passholder
1,3,own,3309,80464,1,York,2535,2842,1,No
2,3,own,3814,47696,2,York,2913,3938,1,No
3,3,rent,2592,108256,2,Cumberland,1986,3687,2,No
4,2,own,2628,68064,1,Cumberland,2505,2826,1,No
5,3,rent,2442,62786,2,Sagadahoc,3541,1344,2,No
6,2,own,1178,69463,2,Cumberland,2512,4354,2,Yes
7,3,own,3022,89688,1,Cumberland,3531,4654,1,Yes
8,3,own,2421,79639,1,Cumberland,3521,4138,2,No
9,3,own,2657,89096,1,Cumberland,2745,3737,2,No
10,4,own,4298,77969,4,York,3851,3416,3,Yes
11,4,own,4708,92092,1,York,2674,4598,3,No
12,3,rent,3966,73044,1,York,3290,4429,2,No
13,2,own,3302,80747,3,York,3457,4055,1,No
14,2,rent,2977,37146,2,Cumberland,1767,3843,1,No
15,4,rent,3996,98084,2,York,3629,3455,2,No
16,3,rent,1681,82182,1,Sagadahoc,2186,2714,2,No
17,3,own,3354,66964,1,Cumberland,3313,4037,1,No
18,3,own,4251,66660,1,York,2867,2861,2,Yes
19,5,own,4111,33218,2,York,5180,4188,2,No
20,3,own,3971,70412,2,Cumberland,3769,3281,1,Yes
21,3,own,1948,67849,2,Cumberland,1753,3772,2,Yes
22,3,rent,3260,59422,0,Cumberland,2151,3361,2,No
23,3,own,3835,48457,3,York,2477,3497,1,No
24,3,own,4168,49432,1,York,5041,3616,2,Yes
25,3,rent,4181,51640,2,York,4317,4375,1,No
26,3,own,2899,95034,3,Cumberland,2569,2435,2,Yes
27,2,own,4143,77080,1,York,1997,3607,1,Yes
28,2,rent,2502,69265,2,Sagadahoc,1085,2825,1,No
29,4,own,4137,118960,0,York,1937,3631,1,Yes
30,3,own,2324,73494,1,Cumberland,2696,2811,1,Yes
31,3,own,3707,67634,3,Cumberland,1317,3900,2,No
32,3,own,2066,86928,2,Cumberland,1297,2850,2,Yes
33,3,own,1997,59200,2,Cumberland,2598,3383,2,Yes
34,2,own,3756,66913,2,York,2837,3521,1,Yes
35,3,own,3499,106153,1,York,1544,4004,2,No
36,6,rent,2204,97588,2,Sagadahoc,2297,2370,1,No
37,3,rent,1813,121751,2,Cumberland,1762,3850,2,No
38,3,rent,2622,61486,2,Cumberland,2102,2647,2,No
39,3,own,3746,89175,2,York,2748,4445,1,No
