Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
1,Airport,285,Trip Completed,11/07/2016 00:20,11/07/2016 00:51
2,Airport,NA,No Cars Available,11/07/2016 00:23,NA
3,Airport,80,Trip Completed,11/07/2016 00:24,11/07/2016 01:31
4,City,NA,No Cars Available,11/07/2016 00:37,NA
5,Airport,264,Trip Completed,11/07/2016 00:36,11/07/2016 01:35
6,City,NA,No Cars Available,11/07/2016 00:36,NA
7,Airport,NA,No Cars Available,11/07/2016 00:30,NA
8,City,NA,No Cars Available,11/07/2016 00:40,NA
9,Airport,235,Trip Completed,11/07/2016 00:45,11/07/2016 02:00
10,City,228,Trip Completed,11/07/2016 00:54,11/07/2016 01:59
11,City,198,Trip Completed,11/07/2016 01:00,11/07/2016 01:53
12,City,NA,No Cars Available,11/07/2016 01:08,NA
13,City,119,Trip Completed,11/07/2016 01:08,11/07/2016 01:58
14,Airport,NA,No Cars Available,11/07/2016 01:10,NA
15,City,NA,No Cars Available,11/07/2016 01:15,NA
16,Airport,NA,No Cars Available,11/07/2016 01:09,NA
17,Airport,NA,No Cars Available,11/07/2016 01:16,NA
18,City,201,Cancelled,11/07/2016 01:16,NA
19,City,NA,No Cars Available,11/07/2016 01:14,NA
20,Airport,NA,No Cars Available,11/07/2016 01:23,NA
21,Airport,194,Trip Completed,11/07/2016 01:29,11/07/2016 02:05
22,Airport,NA,No Cars Available,11/07/2016 01:40,NA
23,City,NA,No Cars Available,11/07/2016 01:38,NA
24,Airport,NA,No Cars Available,11/07/2016 01:48,NA
25,Airport,NA,No Cars Available,11/07/2016 01:45,NA
26,Airport,NA,No Cars Available,11/07/2016 01:49,NA
27,Airport,NA,No Cars Available,11/07/2016 01:49,NA
28,City,NA,No Cars Available,11/07/2016 02:02,NA
29,City,NA,No Cars Available,11/07/2016 01:55,NA
30,Airport,297,Trip Completed,11/07/2016 02:04,11/07/2016 02:37
31,City,NA,No Cars Available,11/07/2016 02:10,NA
32,Airport,NA,No Cars Available,11/07/2016 02:15,NA
33,Airport,170,Trip Completed,11/07/2016 02:17,11/07/2016 03:31
34,City,78,Trip Completed,11/07/2016 02:20,11/07/2016 03:34
35,City,107,Trip Completed,11/07/2016 02:36,11/07/2016 03:03
36,City,NA,No Cars Available,11/07/2016 02:33,NA
37,Airport,NA,No Cars Available,11/07/2016 02:34,NA
38,City,NA,No Cars Available,11/07/2016 02:39,NA
39,Airport,NA,No Cars Available,11/07/2016 02:48,NA
40,Airport,NA,No Cars Available,11/07/2016 02:42,NA
41,City,109,Trip Completed,11/07/2016 02:47,11/07/2016 03:23
42,Airport,NA,No Cars Available,11/07/2016 02:55,NA
43,City,NA,No Cars Available,11/07/2016 03:06,NA
44,Airport,NA,No Cars Available,11/07/2016 03:07,NA
45,Airport,12,Trip Completed,11/07/2016 03:17,11/07/2016 04:09
46,Airport,NA,No Cars Available,11/07/2016 03:16,NA
47,City,124,Trip Completed,11/07/2016 03:22,11/07/2016 04:35
48,City,150,Trip Completed,11/07/2016 03:14,11/07/2016 04:19
49,Airport,NA,No Cars Available,11/07/2016 03:29,NA
50,City,100,Trip Completed,11/07/2016 03:22,11/07/2016 03:57
51,City,86,Trip Completed,11/07/2016 03:34,11/07/2016 04:33
52,City,NA,No Cars Available,11/07/2016 03:30,NA
53,Airport,95,Trip Completed,11/07/2016 03:30,11/07/2016 04:22
54,City,NA,No Cars Available,11/07/2016 03:34,NA
55,Airport,NA,No Cars Available,11/07/2016 03:41,NA
56,City,NA,No Cars Available,11/07/2016 03:58,NA
57,City,NA,No Cars Available,11/07/2016 03:52,NA
58,Airport,NA,No Cars Available,11/07/2016 04:03,NA
59,City,NA,No Cars Available,11/07/2016 03:58,NA
60,City,141,Trip Completed,11/07/2016 03:57,11/07/2016 04:46
61,Airport,NA,No Cars Available,11/07/2016 04:05,NA
62,Airport,NA,No Cars Available,11/07/2016 04:10,NA
63,Airport,NA,No Cars Available,11/07/2016 04:17,NA
64,City,52,Trip Completed,11/07/2016 04:16,11/07/2016 05:28
65,Airport,NA,No Cars Available,11/07/2016 04:23,NA
66,City,255,Trip Completed,11/07/2016 04:21,11/07/2016 04:54
67,Airport,NA,No Cars Available,11/07/2016 04:24,NA
68,Airport,NA,No Cars Available,11/07/2016 04:27,NA
69,Airport,NA,No Cars Available,11/07/2016 04:27,NA
70,City,80,Trip Completed,11/07/2016 04:34,11/07/2016 05:30
71,City,NA,No Cars Available,11/07/2016 04:37,NA
72,City,NA,No Cars Available,11/07/2016 04:36,NA
73,Airport,NA,No Cars Available,11/07/2016 04:36,NA
74,Airport,239,Trip Completed,11/07/2016 04:38,11/07/2016 05:44
75,Airport,NA,No Cars Available,11/07/2016 04:40,NA
76,City,158,Cancelled,11/07/2016 04:45,NA
77,City,171,Cancelled,11/07/2016 04:46,NA
78,City,NA,No Cars Available,11/07/2016 04:45,NA
79,City,NA,No Cars Available,11/07/2016 04:43,NA
80,City,3,Cancelled,11/07/2016 04:47,NA
81,Airport,73,Trip Completed,11/07/2016 04:47,11/07/2016 06:00
82,Airport,290,Trip Completed,11/07/2016 04:47,11/07/2016 05:23
83,City,NA,No Cars Available,11/07/2016 04:44,NA
84,City,28,Trip Completed,11/07/2016 04:50,11/07/2016 05:26
85,City,144,Cancelled,11/07/2016 04:47,NA
86,City,174,Cancelled,11/07/2016 04:51,NA
87,City,213,Trip Completed,11/07/2016 04:46,11/07/2016 05:26
88,Airport,76,Trip Completed,11/07/2016 04:54,11/07/2016 06:07
89,City,280,Trip Completed,11/07/2016 04:52,11/07/2016 05:51
90,Airport,126,Trip Completed,11/07/2016 04:53,11/07/2016 05:34
91,Airport,234,Trip Completed,11/07/2016 04:49,11/07/2016 05:39
92,City,16,Cancelled,11/07/2016 04:53,NA
93,City,69,Trip Completed,11/07/2016 04:53,11/07/2016 05:30
94,City,265,Trip Completed,11/07/2016 04:59,11/07/2016 05:58
95,Airport,270,Trip Completed,11/07/2016 04:54,11/07/2016 06:03
96,City,21,Cancelled,11/07/2016 04:58,NA
97,City,138,Trip Completed,11/07/2016 05:01,11/07/2016 05:39
98,City,205,Cancelled,11/07/2016 04:58,NA
99,City,70,Cancelled,11/07/2016 05:00,NA
100,City,256,Trip Completed,11/07/2016 05:00,11/07/2016 05:47
101,Airport,99,Trip Completed,11/07/2016 05:08,11/07/2016 06:09
102,Airport,100,Trip Completed,11/07/2016 05:01,11/07/2016 05:38
103,City,NA,No Cars Available,11/07/2016 05:02,NA
104,City,NA,No Cars Available,11/07/2016 05:00,NA
105,City,182,Cancelled,11/07/2016 04:58,NA
106,City,194,Trip Completed,11/07/2016 05:06,11/07/2016 05:38
107,City,215,Cancelled,11/07/2016 05:02,NA
108,City,248,Cancelled,11/07/2016 05:09,NA
109,City,284,Cancelled,11/07/2016 05:01,NA
110,City,22,Trip Completed,11/07/2016 05:05,11/07/2016 06:06
111,City,62,Cancelled,11/07/2016 05:06,NA
112,Airport,116,Trip Completed,11/07/2016 05:01,11/07/2016 06:04
113,City,185,Cancelled,11/07/2016 05:09,NA
114,City,217,Trip Completed,11/07/2016 05:10,11/07/2016 05:40
115,City,244,Cancelled,11/07/2016 05:14,NA
116,Airport,286,Trip Completed,11/07/2016 05:07,11/07/2016 05:53
117,City,NA,No Cars Available,11/07/2016 05:13,NA
118,Airport,44,Trip Completed,11/07/2016 05:11,11/07/2016 05:52
119,City,204,Cancelled,11/07/2016 05:10,NA
120,City,268,Cancelled,11/07/2016 05:04,NA
121,Airport,63,Trip Completed,11/07/2016 05:13,11/07/2016 06:08
122,City,124,Cancelled,11/07/2016 05:14,NA
123,City,130,Trip Completed,11/07/2016 05:12,11/07/2016 06:14
124,City,NA,No Cars Available,11/07/2016 05:12,NA
125,City,38,Trip Completed,11/07/2016 05:12,11/07/2016 06:17
126,City,40,Cancelled,11/07/2016 05:05,NA
127,City,173,Cancelled,11/07/2016 05:10,NA
128,City,43,Trip Completed,11/07/2016 05:12,11/07/2016 05:48
